code,name,account_type,parent_code,is_active
11,Nematerialusis turtas,ASSET,1,true
111,Plėtros darbai,ASSET,11,true
1110,Plėtros darbų atlikimo savikaina,ASSET,111,true
1118,Plėtros darbų vertės amortizacija,ASSET,111,true
1119,Plėtros darbų vertės sumažėjimas,ASSET,111,true
112,Prestižas,ASSET,11,true
1120,Prestižo įsigijimo savikaina,ASSET,112,true
1128,Prestižo vertės amortizacija,ASSET,112,true
1129,Prestižo vertės sumažėjimas,ASSET,112,true
113,Programinė įranga,ASSET,11,true
1130,Programinės įrangos įsigijimo savikaina,ASSET,113,true
1138,Programinės įrangos vertės amortizacija,ASSET,113,true
1139,Programinės įrangos vertės sumažėjimas,ASSET,113,true
114,Koncesijos patentai licencijos,ASSET,11,true
1140,Koncesijų patentų licencijų įsigijimo savikaina,ASSET,114,true
1148,Koncesijų patentų licencijų amortizacija,ASSET,114,true
1149,Koncesijų patentų licencijų vertės sumažėjimas,ASSET,114,true
115,Kitas nematerialusis turtas,ASSET,11,true
1150,Kito nematerialiojo turto įsigijimo savikaina,ASSET,115,true
1158,Kito nematerialiojo turto vertės amortizacija,ASSET,115,true
1159,Kito nematerialiojo turto vertės sumažėjimas,ASSET,115,true
116,Sumokėti avansai už nematerialųjį turtą,ASSET,11,true
12,Materialusis turtas,ASSET,1,true
120,Žemė,ASSET,12,true
1200,Žemės įsigijimo savikaina,ASSET,120,true
1201,Žemės vertės pokytis dėl perkainojimo,ASSET,120,true
1209,Žemės vertės sumažėjimas,ASSET,120,true
121,Pastatai ir statiniai,ASSET,12,true
1210,Pastatų ir statinių įsigijimo savikaina,ASSET,121,true
1211,Pastatų vertės pokytis dėl perkainojimo,ASSET,121,true
1212,Ruošiami naudoti pastatai ir statiniai,ASSET,121,true
1217,Pastatų įsigijimo savikainos nusidėvėjimas,ASSET,121,true
1218,Pastatų vertės pokyčio nusidėvėjimas,ASSET,121,true
1219,Pastatų vertės sumažėjimas,ASSET,121,true
122,Mašinos ir įrenginiai,ASSET,12,true
1220,Mašinų ir įrenginių įsigijimo savikaina,ASSET,122,true
1221,Mašinų vertės pokytis dėl perkainojimo,ASSET,122,true
1222,Ruošiamos naudoti mašinos ir įranga,ASSET,122,true
1227,Mašinų įsigijimo savikainos nusidėvėjimas,ASSET,122,true
1228,Mašinų vertės pokyčio nusidėvėjimas,ASSET,122,true
1229,Mašinų vertės sumažėjimas,ASSET,122,true